Year,Variable, Klamath , Siletz , Umatilla , Warm Springs , Colville , Neah bay , Spokane , Tulalip , Yakima ,Cushman-Taholah
1915,patent_in_fee_issues_since_1906|number_of_original_allotment,30,20,219,3,49, NA ,34,12,117,6
1915,patent_in_fee_issues_since_1906|acreage_original_allotment,4552.27,1378.78,12876.99,360,3950.56, NA ,3082.5,1678.36,8067.43,570
1915,patent_in_fee_issues_since_1906|number_of_inherited_land,3,7,40,5,1, NA ,0,1,253,4
1915,patent_in_fee_issues_since_1906|acreage_inherited_land,482.72,562.72,2966.89,760,80, NA ,0,163.85,20248.26,233
1915,patent_in_fee_issues_since_1906|total_number,33,27,259,8,50, NA ,34,13,370,10
1915,patent_in_fee_issues_since_1906|total_acreage,5034.99,1941.5,15843.88,1120,4030.56, NA ,3082.5,1842.21,28315.69,803
1915,patent_in_fee_issues|applications_received,10,7,7,0,6, NA ,28,8,11,6
1915,patent_in_fee_issues|applications_denied,2,0,3,0,2, NA ,8,5,6,3
1915,patent_in_fee_issues|applications_approved,8,7,4,0,4, NA ,20,3,5,3
1915,patent_in_fee_issues|acreage_approved,1190.66,478.72,200,0,320.61, NA ,1725.55,260.7,240,280
1915,sale_of_noncompetent_land|number_of_tracts,3,1,4, NA ,2, NA , NA ,1,1,2
1915,sale_of_noncompetent_land|acreage,480,100,271.98, NA ,153.9, NA , NA ,160,2.5,84.76
1915,sale_of_noncompetent_land|total_proceeds,3365,1562.5,13018, NA ,11610, NA , NA ,3800,100,2400
1915,sale_of_noncompetent_land|average_price_per_acre,7.01,15.63,47.86, NA ,75.44, NA , NA ,23.75,40,28.3152430391694
1915,sale_of_inherited_land|number_of_tracts,13,1,11, NA ,1, NA , NA ,2,7,4
1915,sale_of_inherited_land|acreage,1603,5,988.86, NA ,80, NA , NA ,130.25,620,103.42
1915,sale_of_inherited_land|total_proceeds,10600,126,54322, NA ,1500, NA , NA ,7670,27415.1,3750
1915,sale_of_inherited_land|average_price_per_acre,6.61,25.2,54.93, NA ,18.75, NA , NA ,58.89,44.22,36.2599110423516
1915,sale_of_land|total_number_of_tracts,16,2,15, NA ,3, NA , NA ,3,8,6
1915,sale_of_land|total_acreage,2083,105,1260.84, NA ,233.9, NA , NA ,290.25,622.5,188.18
1915,sale_of_land|total_proceeds,13965,1688.5,67340, NA ,13110, NA , NA ,11470,27515.1,6150
1915,sale_of_land|total_average_price_per_acre,6.7,16.08,53.41, NA ,56.05, NA , NA ,39.52,44.2,32.6814751833351
1916,number_of_allotments,1345,820,1113,966,2953,373,628,395,4487,1123
1916,allotted|total_acreage,207374,77442,82444,140132,355413,3728,64954,49305,451762,93757
1916,unallotted|total_acreage,811802,0,74330,322672,1015194,19952,82488,389,412564,168888
1916,total_reservation_acreage,1019176,77442,156774,462804,1370607,23680,147442,49694,864326,262645
1916,patent_in_fee_issues_since_1906|number_of_original_allotment,33,20,242,3,53, NA ,35,12,117,6
1916,patent_in_fee_issues_since_1906|acreage_original_allotment,4952.27,1378.78,14714.61,360,4276.3, NA ,3242.5,1678.36,8067.43,570
1916,patent_in_fee_issues_since_1906|number_of_inherited_land,3,8,46,5,2, NA ,0,1,255,4
1916,patent_in_fee_issues_since_1906|acreage_inherited_land,482.72,642.72,3246.89,760,160, NA ,0,163.85,20348.26,233.9
1916,patent_in_fee_issues_since_1906|total_number,36,28,288,8,55, NA ,35,13,372,10
1916,patent_in_fee_issues_since_1906|total_acreage,5434.99,2021.5,17961.5,1120,4436.3, NA ,3242.5,1842.21,28415.69,803.9
1916,patent_in_fee_issues|applications_received,4,12,9,0,5, NA ,3,5,2,5
1916,patent_in_fee_issues|applications_denied,1,11,3,0,0, NA ,2,5,0,0
1916,patent_in_fee_issues|applications_approved,3,1,6,0,5, NA ,1,0,2,5
1916,patent_in_fee_issues|acreage_approved,400,80,280,0,405.74, NA ,160,0,100,405.74
1916,sale_of_noncompetent_land|number_of_tracts,4, NA ,3, NA ,1, NA ,1,1,9,3
1916,sale_of_noncompetent_land|acreage,640, NA ,115.8, NA ,2.55, NA ,120,43.5,503,102.15
1916,sale_of_noncompetent_land|total_proceeds,2803, NA ,6821.8, NA ,75, NA ,4860,1350,25086.1,5161.5
1916,sale_of_noncompetent_land|average_price_per_acre,4.38, NA ,58.91, NA ,29.41, NA ,40.5,31.03,49.87,50.5286343612335
1916,sale_of_inherited_land|number_of_tracts,7, NA ,11, NA ,1, NA ,0,0,5,2
1916,sale_of_inherited_land|acreage,960, NA ,589.23, NA ,62.33, NA ,0,0,360,13.72
1916,sale_of_inherited_land|total_proceeds,6851.75, NA ,44760, NA ,3277, NA ,0,0,20892.5,1925
1916,sale_of_inherited_land|average_price_per_acre,7.14, NA ,75.96, NA ,52.58, NA ,0,0,58.03,140.30612244898
1916,sale_of_land|total_number_of_tracts,11, NA ,14, NA ,2, NA ,1,1,14,5
1916,sale_of_land|total_acreage,1600, NA ,705.03, NA ,64.88, NA ,120,43.5,863,115.87
1916,sale_of_land|total_proceeds,9654.75, NA ,51581.8, NA ,3352, NA ,4860,1350,45978.6,7086.5
1916,sale_of_land|total_average_price_per_acre,6.03, NA ,73.16, NA ,51.66, NA ,40.5,31.03,53.28,61.159057564512
1917,number_of_allotments,1351,820,1115,967,2953,373,628,395,4488,1123
1917,allotted|total_acreage,208279,77442,82644,140292,355413,3728,64954,49305,451922,93757
1917,unallotted|total_acreage,812707,0,74130,322512,1009580,19952,82488,389,412404,168888
1917,total_reservation_acreage,1020986,77442,156774,462804,1364993,23680,147442,49694,864326,262645
1917,patent_in_fee_issues_since_1906|number_of_original_allotment,39,21,265,5,68, NA ,46,14,126,6
1917,patent_in_fee_issues_since_1906|acreage_original_allotment,5912.27,1438.78,16512.61,680,5534.3, NA ,4066.5,1814.36,8553.93,570
1917,patent_in_fee_issues_since_1906|number_of_inherited_land,5,16,51,5,2, NA ,0,1,264,4
1917,patent_in_fee_issues_since_1906|acreage_inherited_land,802.72,1460.72,3566.89,760,160, NA ,0,163.85,20870.76,233.9
1917,patent_in_fee_issues_since_1906|total_number,44,37,316,10,70, NA ,46,15,390,10
1917,patent_in_fee_issues_since_1906|total_acreage,6714.99,2899.5,20079.5,1440,5694.3, NA ,4066.5,1978.21,29424.69,803.9
1917,patent_in_fee_issues|applications_received,14,9,31,2,17, NA ,15,3,20,0
1917,patent_in_fee_issues|applications_denied,6,0,3,0,2, NA ,4,1,2,0
1917,patent_in_fee_issues|applications_approved,8,9,28,2,15, NA ,11,2,18,0
1917,patent_in_fee_issues|acreage_approved,1280,878,2118,320,1258, NA ,824,136,1009,0
1917,sale_of_noncompetent_land|number_of_tracts,0,0,1, NA ,1, NA , NA ,0,5,2
